收件人,货物明细,发货渠道,电商平台,工作号,Order,状态,发货仓库,公司名,创建时间,取件日期(E),派送日期(E),包装件数,重量,体积,货物品名,货物类型,业务员,托盘数量
,,,,TK2310042377,,podConfirm,WNT485,GIFTABLE WORLD INC.,"""2023-10-27T22:32:31.000Z""","""2023-10-31T07:00:00.000Z""","""2023-10-31T07:00:00.000Z""",770,6722.511,0,,,客服2,
,,,,TK2310042376,,podConfirm,WNT485,GIFTABLE WORLD INC.,"""2023-10-27T22:31:07.000Z""","""2023-10-31T07:00:00.000Z""","""2023-10-31T07:00:00.000Z""",822,7253.972,0,,,客服2,
,,,,TK2310042375,,podConfirm,WNT485,GIFTABLE WORLD INC.,"""2023-10-27T22:29:24.000Z""","""2023-10-31T07:00:00.000Z""","""2023-10-31T07:00:00.000Z""",2307,7652.013,0,,,客服2,
,,,,TK2310042374,,podConfirm,WNT485,GIFTABLE WORLD INC.,"""2023-10-27T22:25:20.000Z""","""2023-10-31T07:00:00.000Z""","""2023-10-31T07:00:00.000Z""",1150,7421.796,0,,,客服2,
,,,,TK2310042373,,podConfirm,WNT485,GIFTABLE WORLD INC.,"""2023-10-27T22:21:44.000Z""","""2023-10-31T07:00:00.000Z""","""2023-10-31T07:00:00.000Z""",3154,5318.234,0,,,客服2,
,,,,TK2310042372,,wmsOut,WNT485,GIFTABLE WORLD INC.,"""2023-10-27T22:20:09.000Z""","""2023-10-30T07:00:00.000Z""","""2023-10-30T07:00:00.000Z""",987,6422.047,0,,,客服2,
,,,,TK2310042371,,wmsOut,WNT485,GIFTABLE WORLD INC.,"""2023-10-27T22:13:33.000Z""","""2023-10-30T07:00:00.000Z""","""2023-10-30T07:00:00.000Z""",2077,7369.982,0,,,客服2,
,,,,TK2310042366,,wmsOut,WNT485,Sunset Vans,"""2023-10-26T16:19:46.000Z""","""2023-10-26T07:00:00.000Z""",,1,91,0.936,,generalCargo,wang chen,1
,,,,TK2310042363,,wmsOut,WNT485,Ruprecht // Kilcoy Global Foods North America,"""2023-10-25T20:36:16.000Z""","""2023-10-25T07:00:00.000Z""",,1,62.5,2.3912,,generalCargo,wang chen,1
,,,,TK2310042361,,wmsOut,WNT485,Hunter Douglas/PO4100118967,"""2023-10-24T20:09:43.000Z""","""2023-10-24T07:00:00.000Z""",,1,66.252,2.58,E150-1 330lb,brandHasElect,wang chen,1
,,,,TK2310042360,,wmsOut,WNT485,"Artec Manufacturing, LLC","""2023-10-24T16:58:26.000Z""","""2023-10-24T07:00:00.000Z""",,1,66.252,2.58,E150-1 330lb,magneticHasElect,wang chen,1
,,,,TK2310042359,,wmsOut,WNT485,IGT,"""2023-10-23T19:34:16.000Z""","""2023-10-23T07:00:00.000Z""",,1,99.001,1.4473,,generalCargo,wang chen,1
,,,,TK2310042358,,podConfirm,WNT485,Levi,"""2023-10-23T10:33:24.000Z""","""2023-10-25T07:00:00.000Z""","""2023-11-02T07:00:00.000Z""",21,230.298,0,,,客服2,1
,,,,TK2310042356,,wmsOut,WNT485,Ethium LLC,"""2023-10-18T19:43:53.000Z""","""2023-10-18T07:00:00.000Z""",,1,62.5,2.58,,brandHasElect,wang chen,1
,,,,TK2310042355,,wmsOut,WNT485,Procedyne corp,"""2023-10-18T17:02:02.000Z""","""2023-10-18T07:00:00.000Z""",,1,90.002,0.7827,,brandNoElect,wang chen,1
,,,,TK2310042354,,wmsOut,WNT485,Verdagy Incorporated,"""2023-10-18T14:22:55.000Z""","""2023-10-18T07:00:00.000Z""",,1,193.498,2.4352,,brandNoElect,wang chen,1
,,,,TK2310042353,,podConfirm,NJ9,Tyler Rhody,"""2023-10-18T09:54:18.000Z""","""2023-10-18T07:00:00.000Z""",,2,81.402,0,VENTISOL 42 Inch Drum Fan,,wang chen,1
,,,,TK2310042352,,podConfirm,WNT485,0,"""2023-10-18T09:08:46.000Z""","""2023-10-20T07:00:00.000Z""","""2023-10-26T07:00:00.000Z""",272,541.757,0,,generalCargo,客服2,1
,,,,TK2310042351,,podConfirm,NJ9,"Amazon.com, Inc","""2023-10-17T22:14:23.000Z""","""2023-10-19T07:00:00.000Z""","""2023-10-30T07:00:00.000Z""",,0,0,,,,6
,,,,TK2310042350,,wmsOut,WNT485,Altor,"""2023-10-16T17:32:55.000Z""","""2023-10-16T07:00:00.000Z""",,4,90.002,0.7237,"Pake Handling Tools Hydraulic Jack, 5T",generalCargo,wang chen,1
,,,,TK2310042349,,wmsOut,WNT485,NUTRIOM,"""2023-10-16T15:13:26.000Z""","""2023-10-16T07:00:00.000Z""",,1,145.998,0.6725,,brandHasElect,wang chen,1
,,,,TK2310042348,,podConfirm,WNT485,0,"""2023-10-16T11:46:19.000Z""","""2023-10-17T07:00:00.000Z""","""2023-11-21T08:00:00.000Z""",102,217.203,0,,generalCargo,客服2,1
