客户名称,工作号,出仓登记时间,出仓件数,库房名称,业务员
星辰时代有限公司,,2023-11-01T00:04:06.000Z,1,WNT485,客服2
Homeangel,,2023-10-31T23:37:25.000Z,84,WNT485,wang chen
Mega Home Inc.,,2023-10-31T22:18:25.000Z,72,PDX,客服2
KTGWorldWide,,2023-10-31T23:03:36.000Z,164,WNT485,
Mega Home Inc.,,2023-10-31T22:17:52.000Z,14,PDX,客服2
Homeangel,,2023-10-31T23:37:10.000Z,24,WNT485,wang chen
KTGWorldWide,,2023-10-31T19:05:37.000Z,111,WNT485,
Mega Home Inc.,,2023-10-31T22:16:36.000Z,19,PDX,客服2
Mega Home Inc.,,2023-10-31T22:13:16.000Z,7,PDX,客服2
Homeangel,,2023-10-31T23:27:26.000Z,412,WNT485,wang chen
Vegogarden,,2023-10-31T18:39:58.000Z,24,WNT485,yao
Vegogarden,,2023-10-31T18:39:47.000Z,74,WNT485,yao
AESPORT INTERNATIONAL LIMITED,,2023-10-31T00:14:44.000Z,2,WNT485,客服2
Mega Home Inc.,,2023-10-30T23:49:52.000Z,10,PDX,客服2
Mega Home Inc.,,2023-10-30T23:07:18.000Z,5,PDX,客服2
Mega Home Inc.,,2023-10-30T22:16:53.000Z,162,PDX,客服2
KTGWorldWide,,2023-10-30T21:08:17.000Z,192,NJ9,
KTGWorldWide,,2023-10-30T21:01:16.000Z,26,NJ9,
Vegogarden,,2023-10-31T18:43:24.000Z,5,WNT485,yao
Homeangel,,2023-10-31T02:22:16.000Z,20,WNT485,wang chen
Vegogarden,,2023-10-31T18:39:25.000Z,22,WNT485,yao
Vegogarden,,2023-10-31T18:39:12.000Z,182,WNT485,yao
Mega Home Inc.,,2023-10-30T18:19:24.000Z,192,PDX,客服2
Mega Home Inc.,,2023-10-30T18:11:02.000Z,189,PDX,客服2
Mega Home Inc.,,2023-10-30T17:46:16.000Z,216,PDX,客服2
Mega Home Inc.,,2023-10-30T17:38:32.000Z,238,PDX,客服2
Mega Home Inc.,,2023-10-30T16:57:43.000Z,192,PDX,客服2
EVA Groups Inc.,,2023-10-30T16:41:48.000Z,3,8828 Houston,客服2
Homeangel,,2023-10-31T02:20:55.000Z,967,WNT485,wang chen
KTGWorldWide,,2023-10-30T14:42:07.000Z,11,NJ9,
DTI Direct Inc.,,2023-10-30T14:44:27.000Z,22,NJ9,
星辰时代有限公司,,2023-10-30T16:42:08.000Z,2,8828 Houston,客服2
星辰时代有限公司,,2023-10-30T16:41:56.000Z,1,8828 Houston,客服2
Mega Home Inc.,,2023-10-29T20:19:35.000Z,195,PDX,客服2
Mega Home Inc.,,2023-10-29T20:13:14.000Z,190,PDX,客服2
Mega Home Inc.,,2023-10-29T20:02:20.000Z,181,PDX,客服2
Mega Home Inc.,,2023-10-29T19:20:51.000Z,198,PDX,客服2
Mega Home Inc.,,2023-10-29T18:57:54.000Z,215,PDX,客服2
Mega Home Inc.,,2023-10-30T23:52:39.000Z,190,PDX,客服2
Mega Home Inc.,,2023-10-30T18:30:04.000Z,342,PDX,客服2
Mega Home Inc.,,2023-10-29T16:59:52.000Z,195,PDX,客服2
Mega Home Inc.,,2023-10-29T20:51:17.000Z,233,PDX,客服2
Mega Home Inc.,,2023-10-29T20:53:17.000Z,197,PDX,客服2
Mega Home Inc.,,2023-10-29T20:52:14.000Z,237,PDX,客服2
Mega Home Inc.,,2023-10-29T20:58:42.000Z,238,PDX,客服2
Mega Home Inc.,,2023-10-27T22:58:12.000Z,1,PDX,客服2
Mega Home Inc.,,2023-10-29T20:57:50.000Z,272,PDX,客服2
Mega Home Inc.,,2023-10-29T20:54:15.000Z,256,PDX,客服2
Homeangel,,2023-10-27T20:40:18.000Z,1,WNT485,wang chen
Mega Home Inc.,,2023-10-29T20:55:38.000Z,201,PDX,客服2
Homeangel,,2023-10-28T00:24:34.000Z,9,WNT485,wang chen
"FUJITSU GENERAL AMERICA, INC.",,2023-10-27T18:41:14.000Z,610,NJ9,
"FUJITSU GENERAL AMERICA, INC.",,2023-10-27T18:39:03.000Z,457,NJ9,
Mega Home Inc.,,2023-10-29T20:56:32.000Z,178,PDX,客服2
Homeangel,,2023-10-28T00:24:25.000Z,3,WNT485,wang chen
Vegogarden,,2023-10-31T18:43:13.000Z,4,WNT485,yao
Mega Home Inc.,,2023-10-29T20:49:03.000Z,188,PDX,客服2
Homeangel,,2023-10-28T00:22:39.000Z,353,WNT485,wang chen
KTGWorldWide,,2023-10-27T15:51:39.000Z,4,NJ9,
Vegogarden,,2023-10-31T18:38:59.000Z,5,WNT485,yao
Mega Home Inc.,,2023-10-29T20:49:53.000Z,217,PDX,客服2
Vegogarden,,2023-10-31T18:38:47.000Z,28,WNT485,yao
KTGWorldWide,,2023-10-27T14:28:32.000Z,4,NJ9,
KTGWorldWide,,2023-10-27T14:26:32.000Z,17,NJ9,
DTI Direct Inc.,,2023-10-27T14:30:21.000Z,18,NJ9,
KTGWorldWide,,2023-10-27T12:56:38.000Z,8,3270,
KTGWorldWide,,2023-10-27T12:52:24.000Z,4,3270,
KTGWorldWide,,2023-10-27T12:49:10.000Z,11,3270,
KTGWorldWide,,2023-10-27T12:47:11.000Z,4,3270,
KTGWorldWide,,2023-10-27T12:43:47.000Z,19,3270,
KTGWorldWide,,2023-10-27T12:40:38.000Z,11,3270,
KTGWorldWide,,2023-10-27T12:38:28.000Z,35,3270,
KTGWorldWide,,2023-10-27T12:35:03.000Z,9,3270,
星辰时代有限公司,,2023-10-27T23:40:02.000Z,13,PDX,客服2
星辰时代有限公司,,2023-10-27T22:23:20.000Z,2,PDX,客服2
星辰时代有限公司,,2023-10-27T22:35:01.000Z,1,PDX,客服2
星辰时代有限公司,,2023-10-27T22:35:51.000Z,6,PDX,客服2
星辰时代有限公司,,2023-10-27T17:24:39.000Z,1,8828 Houston,客服2
KTGWorldWide,,2023-10-27T01:34:34.000Z,126,WNT485,
Mega Home Inc.,,2023-10-27T00:31:00.000Z,10,PDX,客服2
Mega Home Inc.,,2023-10-26T23:51:31.000Z,2,PDX,客服2
Mega Home Inc.,,2023-10-31T22:15:24.000Z,215,PDX,客服2
Mega Home Inc.,,2023-10-26T22:21:00.000Z,10,PDX,客服2
EVA Groups Inc.,,2023-10-27T17:17:26.000Z,1,8828 Houston,客服2
Mega Home Inc.,,2023-10-26T21:45:34.000Z,1,PDX,客服2
EVA Groups Inc.,,2023-10-27T17:17:32.000Z,4,8828 Houston,客服2
EVA Groups Inc.,,2023-10-27T17:17:37.000Z,6,8828 Houston,客服2
Mega Home Inc.,,2023-10-30T23:51:13.000Z,159,PDX,客服2
Mega Home Inc.,,2023-10-26T20:34:40.000Z,137,PDX,客服2
Homeangel,,2023-10-27T02:11:59.000Z,32,WNT485,wang chen
KTGWorldWide,,2023-10-26T19:15:58.000Z,6,NJ9,
Lawrence Group Inc,,2023-10-27T00:08:13.000Z,4,20450,客服2
Homeangel,,2023-10-27T02:10:04.000Z,393,WNT485,wang chen
EVA Groups Inc.,,2023-10-27T17:17:43.000Z,5,8828 Houston,客服2
EVA Groups Inc.,,2023-10-30T20:02:21.000Z,3,8828 Houston,客服2
EVA Groups Inc.,,2023-10-30T20:02:26.000Z,9,8828 Houston,客服2
EVA Groups Inc.,,2023-10-30T20:02:38.000Z,24,8828 Houston,客服2
EVA Groups Inc.,,2023-10-30T20:02:31.000Z,19,8828 Houston,客服2
EVA Groups Inc.,,2023-10-30T20:02:43.000Z,29,8828 Houston,客服2
Vegogarden,,2023-10-31T18:38:35.000Z,13,WNT485,yao
Vegogarden,,2023-10-31T18:38:22.000Z,60,WNT485,yao
Cushy Inc.,,2023-10-26T21:35:30.000Z,2,NJ9,Jack
Cushy Inc.,,2023-10-30T14:55:30.000Z,9,NJ9,Jack
DTI Direct Inc.,,2023-10-27T13:54:45.000Z,34,NJ9,
ANJ INTERNATIONAL LLC,,2023-10-31T21:36:16.000Z,3,WNT485,yao
星辰时代有限公司,,2023-10-27T17:27:35.000Z,54,8828 Houston,客服2
广州亦延贸易有限公司,,2023-10-31T22:01:50.000Z,44,WNT485,客服2
广州亦延贸易有限公司,,2023-10-31T21:59:40.000Z,30,WNT485,客服2
Mega Home Inc.,,2023-10-26T00:56:46.000Z,9,PDX,客服2
Mega Home Inc.,,2023-10-30T18:31:55.000Z,141,PDX,客服2
Mega Home Inc.,,2023-10-25T22:46:29.000Z,154,PDX,客服2
Mega Home Inc.,,2023-10-25T21:39:12.000Z,202,PDX,客服2
"FUJITSU GENERAL AMERICA, INC.",,2023-10-25T20:53:54.000Z,790,NJ9,
Mega Home Inc.,,2023-10-25T20:48:25.000Z,150,PDX,客服2
Homeangel,,2023-10-26T01:51:09.000Z,35,WNT485,wang chen
Mega Home Inc.,,2023-10-25T21:01:03.000Z,250,PDX,客服2
Mega Home Inc.,,2023-10-25T18:08:40.000Z,136,PDX,客服2
Vegogarden,,2023-10-31T18:43:00.000Z,3,WNT485,yao
Mega Home Inc.,,2023-10-25T17:47:28.000Z,250,PDX,客服2
Homeangel,,2023-10-26T01:50:54.000Z,58,WNT485,wang chen
Cushy Inc.,,2023-10-28T01:20:37.000Z,2,WNT485,Jack
Cushy Inc.,,2023-10-28T01:20:16.000Z,9,WNT485,Jack
Cushy Inc.,,2023-10-28T01:18:59.000Z,12,WNT485,Jack
Cushy Inc.,,2023-10-28T01:18:35.000Z,4,WNT485,Jack
Cushy Inc.,,2023-10-28T01:19:21.000Z,9,WNT485,Jack
Cushy Inc.,,2023-10-28T01:19:42.000Z,6,WNT485,Jack
Cushy Inc.,,2023-10-30T14:57:57.000Z,8,NJ9,Jack
